"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","825","CPF retornado com 11 dígitos numéricos","","Mon Aug 04 14:56:55 BRT 2025","passed","Mon Aug 04 14:56:56 BRT 2025","","[Usuários] Consultar dados de usuário PF","",""
"","423","Parâmetro obrigatório ausente","","Mon Aug 04 14:55:08 BRT 2025","passed","Mon Aug 04 14:55:08 BRT 2025","","[CARTÕES] DIS Cadastrar cartão virtual","",""
"","531","nomeCompleto com mais de 100 caracteres (corte esperado)","","Mon Aug 04 14:57:05 BRT 2025","passed","Mon Aug 04 14:57:06 BRT 2025","","[Usuários] Consultar dados de usuário PF","",""
"","565","Token não fornecido no header","","Mon Aug 04 14:56:58 BRT 2025","passed","Mon Aug 04 14:56:59 BRT 2025","","[Usuários] Consultar dados de usuário PF","",""
"","516","Erro ao acessar banco de dados","","Mon Aug 04 14:57:12 BRT 2025","passed","Mon Aug 04 14:57:13 BRT 2025","","[Usuários] Consultar dados de usuário PF","",""
"","1187","Tentar listar QR Codes com cartão não virtual","","Mon Aug 04 14:56:36 BRT 2025","passed","Mon Aug 04 14:56:37 BRT 2025","","[CARTÕES] Listar QR CODEs gerados de um usuário","",""
"","405","Consultar saldo de cartão com operadora TACOM","","Mon Aug 04 14:55:21 BRT 2025","passed","Mon Aug 04 14:55:21 BRT 2025","","[CARTÕES] Consultar saldo de cartão de transporte de um usuário","",""
"","431","Token inválido ou expirado","","Mon Aug 04 14:55:07 BRT 2025","passed","Mon Aug 04 14:55:08 BRT 2025","","[CARTÕES] DIS Cadastrar cartão virtual","",""
"","1028","Listar Cartões Físicos com Sucesso","","Mon Aug 04 14:55:48 BRT 2025","failed","Mon Aug 04 14:55:49 BRT 2025","","[CARTÕES] Listar cartões de transporte","",""
"","422","Cadastro com apelido personalizado","","Mon Aug 04 14:55:06 BRT 2025","passed","Mon Aug 04 14:55:07 BRT 2025","","[CARTÕES] DIS Cadastrar cartão virtual","",""
"","455","Tentar consultar extrato de cartão inexistente","","Mon Aug 04 14:55:31 BRT 2025","passed","Mon Aug 04 14:55:32 BRT 2025","","[CARTÕES] Detalhar extrato de cartão  de transporte  de um usuário","",""
"","431","Número do cartão é virtual (inválido para este serviço)","","Mon Aug 04 14:54:58 BRT 2025","passed","Mon Aug 04 14:54:59 BRT 2025","","[CARTÕES] DIS Cadastrar cartão físico","",""
"","465","Tentativa de vincular cartão virtual já cadastrado (usuário diferente)","","Mon Aug 04 14:55:09 BRT 2025","passed","Mon Aug 04 14:55:09 BRT 2025","","[CARTÕES] DIS Cadastrar cartão virtual","",""
"","420","Cartão já vinculado ao usuário","","Mon Aug 04 14:54:59 BRT 2025","passed","Mon Aug 04 14:54:59 BRT 2025","","[CARTÕES] DIS Cadastrar cartão físico","",""
